As of 2022-01-16,1,2,3,4,5
NICA,50,14,250,,
NICA,50,16,300,,
NICA,50,55,450,,
NICA,50,58,188,,
NICA,50,44,20,,
SADBL,29,44,69,,
SADBL,29,39,31,,
PRVU,25,21,100,,
KBL,59,14,200,,
NABIL,33,47,53,,
NICL,26,25,20,,
NHPC,34,13,50,,
NRN,20,34,445,,
NHPC,34,49,200,,
NRN,42,34,305,,
NHPC,34,13,109,,
SIGS2,53,43,900,,
SAHAS,34,38,10,,
ALBSL,57,38,12,,
AHPC,14,38,200,,
SAHAS,19,19,10,,
SAHAS,19,43,10,,
NHPC,19,13,30,,
JOSHI,8,45,43,,
CCBL,40,35,130,,
JOSHI,8,38,340,,
CCBL,40,58,20,,
JOSHI,8,58,15,,
SBL,54,34,30,,
SBL,54,6,10,,
SBL,54,33,60,,
CBL,51,33,262,,
CBL,57,33,38,,
AKJCL,39,53,985,,
AKJCL,39,58,15,,
SLI,40,55,10,,
NHPC,34,58,181,,
NHPC,34,25,400,,
NHPC,34,58,60,,
SHEL,47,56,10,,
SHEL,47,25,10,,
GBBL,32,49,47,,
SBCF,56,45,100,,
AKJCL,40,51,50,,
AKJCL,40,14,150,,
AKJCL,40,49,50,,
AKJCL,40,22,250,,
AKJCL,40,38,500,,
SINDU,58,34,10,,
JOSHI,4,58,135,,
JOSHI,4,26,365,,
JOSHI,4,51,500,,
SLICL,58,13,36,,
SLICL,26,13,75,,
SLICL,48,13,25,,
NIFRA,13,34,100,,
NIFRA,13,20,400,,
SPDL,14,25,180,,
SSHL,7,34,1000,,
KMCDB,5,25,50,,
KMCDB,5,44,50,,
NLIC,32,57,25,,
SRBL,34,44,460,,
SRBL,34,7,40,,
SHPC,40,21,220,,
GHL,14,58,500,,
GHL,14,52,10,,
GHL,14,44,440,,
MDB,37,20,500,,
NCCB,28,6,300,,
NCCB,28,29,16,,
SAHAS,34,35,10,,
AHPC,39,28,210,,
AHPC,39,4,100,,
AHPC,39,10,490,,
SGI,43,10,20,,
SJCL,50,36,40,,
HIDCL,52,20,28,,
HIDCL,52,32,272,,
ALICL,46,28,189,,
SJCL,50,45,20,,
GRDBL,52,17,45,,
GRDBL,52,49,700,,
GRDBL,52,42,30,,
RHPL,52,48,30,,
GRDBL,52,34,50,,
RHPL,52,49,10,,
GRDBL,52,26,175,,
EIC,59,48,17,,
EIC,59,32,31,,
EIC,59,21,50,,
EIC,59,34,70,,
HIDCL,1,32,19,,
MLBL,38,41,308,,
MLBL,38,14,150,,
MLBL,38,34,30,,
MLBL,38,45,13,,
NBF3,54,16,1000,,
CLBSL,41,55,7,,
CLBSL,41,43,10,,
CLBSL,41,49,23,,
CLBSL,41,38,230,,
CLBSL,41,53,60,,
CLBSL,41,39,150,,
CLBSL,41,37,10,,
CLBSL,41,47,10,,
NABIL,33,48,20,,
LBL,26,20,590,,
LBL,26,14,510,,
GUFL,56,38,79,,
SHL,44,52,100,,
AKPL,34,47,200,,
GUFL,42,38,50,,
SLI,40,6,10,,
MPFL,29,58,300,,
MPFL,29,25,200,,
ULI,22,47,10,,
AKPL,28,47,89,,
MMF1,46,7,5000,,
NIFRA,41,50,10,,
NIFRA,41,3,50,,
NLIC,45,4,7,,
NLIC,45,17,130,,
NLIC,45,45,10,,
NLIC,45,33,11,,
NLIC,45,36,60,,
NLIC,45,54,11,,
NLIC,45,44,271,,
KMCDB,5,44,100,,
KMCDB,5,46,100,,
SPDL,57,25,220,,
BPCL,13,59,30,,
NICLBSL,34,21,35,,
NICLBSL,34,33,25,,
NICLBSL,34,32,10,,
NICLBSL,34,28,10,,
NICLBSL,34,49,10,,
NICLBSL,34,43,10,,
GRDBL,50,58,10,,
GRDBL,50,47,100,,
GRDBL,50,52,10,,
NYADI,42,25,10,,
CFCL,17,35,80,,
RADHI,28,43,259,,
RADHI,28,6,10,,
RADHI,28,59,100,,
RADHI,28,34,130,,
GIC,22,22,10,,
SICL,57,32,20,,
NHPC,41,34,167,,
UPPER,26,3,200,,
API,21,32,10,,
GBBL,32,58,200,,
GBLBS,39,22,25,,
PRIN,44,52,70,,
PRIN,44,45,30,,
MNBBL,49,34,28,,
CBL,57,58,50,,
CBL,57,47,12,,
NRIC,42,57,50,,
MNBBL,42,34,22,,
MNBBL,42,16,128,,
SAHAS,34,40,10,,
MEGA,38,40,100,,
SLI,40,58,10,,
NRIC,58,57,10,,
RHPL,49,36,50,,
UPPER,5,8,50,,
GFCL,29,28,20,,
MMF1,54,25,1000,,
SHL,44,28,165,,
NIFRA,54,6,30,,
NHDL,28,1,200,,
NHPC,41,13,261,,
NHPC,41,42,39,,
PFL,41,13,50,,
PFL,41,14,250,,
NIFRA,54,45,60,,
NIFRA,45,3,150,,
NIFRA,45,19,350,,
ICFC,14,37,40,,
ICFC,14,6,200,,
HDHPC,14,42,230,,
ICFC,14,25,260,,
HDHPC,14,32,770,,
MLBS,40,38,10,,
NHDL,19,28,49,,
NLIC,8,44,200,,
PROFL,34,32,45,,
PROFL,13,32,300,,
PROFL,58,32,155,,
LICN,25,25,30,,
GUFL,57,38,500,,
PMHPL,57,14,200,,
KMCDB,5,46,50,,
KMCDB,5,49,150,,
JBLB,34,38,10,,
CORBL,43,59,20,,
CORBL,43,26,200,,
CORBL,43,8,50,,
API,21,33,384,,
API,21,25,164,,
SLI,40,35,10,,
GRDBL,52,52,40,,
GRDBL,52,36,60,,
NBF3,11,52,1000,,
GRDBL,52,38,900,,
DDBL,32,34,100,,
ULI,59,25,137,,
ULI,59,25,10,,
ULI,59,39,10,,
GLICL,11,34,200,,
ULI,59,49,50,,
GLICL,11,45,23,,
ULI,59,11,200,,
GHL,49,17,190,,
GHL,46,17,310,,
SPDL,57,25,500,,
JBLB,57,38,10,,
UNHPL,42,59,50,,
GBBL,32,43,20,,
ICFC,26,25,500,,
MBJC,59,58,10,,
JBLB,56,50,10,,
GBBL,36,29,59,,
JBLB,32,49,10,,
PRIN,51,17,25,,
PRIN,51,26,30,,
PRIN,51,26,152,,
NYADI,42,3,10,,
CHL,39,49,63,,
CHL,39,53,37,,
HDL,4,48,10,,
HDL,4,13,27,,
SHPC,57,45,40,,
SHPC,57,34,10,,
SHPC,57,47,50,,
SHPC,57,54,3850,,
SHPC,57,14,30,,
SHPC,57,32,20,,
MKJC,34,52,100,,
AKPL,28,45,11,,
NYADI,42,58,10,,
LBBL,16,34,30,,
LBBL,16,17,90,,
LBBL,16,29,10,,
LBBL,16,41,100,,
LBBL,16,58,20,,
NHPC,10,42,600,,
GMFIL,56,3,30,,
MDB,25,20,200,,
HIDCL,25,32,150,,
HIDCL,58,32,19,,
PLI,39,17,10,,
GLH,26,16,10,,
NHDL,49,28,20,,
JBLB,56,35,10,,
NHPC,57,42,300,,
SAHAS,34,28,10,,
SAHAS,34,32,10,,
SAHAS,34,4,10,,
SAHAS,34,4,10,,
SAHAS,34,44,10,,
SAHAS,34,58,10,,
SAHAS,34,21,10,,
SAHAS,34,49,10,,
SAHAS,34,34,10,,
SAHAS,34,8,10,,
SAHAS,34,54,10,,
SAHAS,34,58,60,,
MHNL,26,14,400,,
PROFL,58,13,345,,
PROFL,17,13,455,,
SHPC,40,4,62,,
NYADI,42,50,10,,
AKJCL,36,52,500,,
AKJCL,36,56,490,,
KBL,21,36,200,,
MLBL,48,45,57,,
MLBL,48,45,700,,
MLBL,48,45,200,,
MLBL,48,35,100,,
MLBL,48,6,50,,
MLBL,48,4,100,,
MLBL,48,56,187,,
MLBL,48,44,200,,
MLBL,48,17,406,,
JOSHI,46,14,40,,
MDB,41,20,65,,
PCBL,49,59,79,,
JOSHI,39,25,50,,
JOSHI,39,6,20,,
JOSHI,39,49,100,,
NIFRA,58,19,10,,
NIFRA,50,19,40,,
DDBL,47,34,20,,
CFCL,17,35,20,,
CFCL,17,58,20,,
CFCL,17,34,960,,
RADHI,28,34,270,,
RADHI,28,58,40,,
RADHI,28,26,190,,
HDL,5,13,13,,
ULI,22,34,10,,
NYADI,42,36,10,,
NYADI,42,38,10,,
NYADI,42,53,10,,
NYADI,42,44,10,,
NYADI,42,1,10,,
NYADI,42,17,10,,
NTC,59,42,10,,
CIT,10,42,10,,
LBBL,14,56,100,,
LBBL,56,56,100,,
MBL,26,1,298,,
DHPL,28,38,200,,
UNHPL,53,59,495,,
API,21,25,36,,
ILBS,41,44,20,,
DHPL,57,38,111,,
DHPL,57,17,200,,
DHPL,57,32,70,,
DHPL,57,58,69,,
DHPL,57,40,50,,
CFCL,21,34,50,,
NIFRA,18,20,100,,
SPDL,58,25,190,,
RHPL,58,49,190,,
RHPL,58,59,100,,
RHPL,58,36,10,,
NYADI,35,58,10,,
GHL,58,44,60,,
AKPL,39,5,70,,
AKPL,39,56,100,,
MEGA,25,55,55,,
MEGA,25,51,35,,
MEGA,25,20,100,,
MEGA,25,41,10,,
LBL,51,44,198,,
LBL,41,44,85,,
DHPL,26,1,22,,
MDB,14,20,50,,
ICFC,39,25,500,,
ULI,49,6,10,,
ULI,49,29,10,,
ULI,49,41,10,,
SBI,20,57,14,,
SLICL,48,57,50,,
NIFRA,50,38,60,,
PROFL,17,38,45,,
ULI,22,1,10,,
SKBBL,58,53,12,,
MFIL,58,58,80,,
MFIL,58,58,40,,
MFIL,54,58,200,,
MFIL,48,58,100,,
MFIL,56,58,80,,
MMF1,46,16,1000,,
MMF1,46,34,100,,
NGPL,3,51,10,,
RLI,35,39,500,,
SJCL,50,57,40,,
UPPER,42,3,400,,
UPPER,42,25,100,,
BOKL,17,52,55,,
LGIL,3,43,100,,
GRDBL,4,38,100,,
MBJC,59,58,10,,
SPDL,58,25,58,,
GBIME,58,36,20,,
SIL,35,16,130,,
SIL,35,25,15,,
EIC,59,34,430,,
EIC,59,42,70,,
LBBL,28,58,180,,
LBBL,28,6,20,,
CBBL,49,22,75,,
SANIMA,8,34,1000,,
CGH,48,56,164,,
UPPER,5,45,10,,
GIMES1,50,32,1000,,
NGPL,25,51,100,,
NRIC,33,6,32,,
SLI,41,49,60,,
HIDCL,32,5,273,,
HIDCL,32,4,80,,
HIDCL,32,45,100,,
HIDCL,32,35,47,,
CHCL,6,35,43,,
CHCL,6,37,1000,,
CHCL,6,50,50,,
CHCL,6,41,100,,
NICLBSL,58,46,10,,
NICLBSL,58,34,100,,
NICLBSL,58,38,20,,
NICLBSL,58,8,270,,
SAHAS,26,58,110,,
SDLBSL,58,17,65,,
SAHAS,51,58,180,,
ICFC,39,21,45,,
ICFC,39,33,65,,
ICFC,39,46,100,,
ICFC,39,4,230,,
ICFC,39,35,60,,
SLI,41,5,30,,
SLI,41,41,10,,
SLI,41,21,10,,
SLI,41,48,10,,
SLI,41,19,10,,
SLI,41,6,100,,
SLI,41,1,120,,
SLI,41,7,10,,
SLI,41,49,70,,
HDL,41,13,100,,
SAHAS,49,21,10,,
DHPL,45,38,100,,
API,21,11,4,,
CBL,58,47,38,,
RLI,35,7,10,,
JBLB,56,34,10,,
AHPC,32,10,10,,
HIDCL,45,35,100,,
BPCL,58,59,33,,
BPCL,58,26,42,,
ULI,22,38,10,,
ULI,22,58,10,,
ULI,22,34,10,,
ULI,22,35,10,,
ULI,22,59,10,,
ULI,22,42,10,,
ULI,22,21,10,,
ULI,22,51,10,,
ULI,22,58,10,,
ULI,22,6,10,,
ULI,22,4,49,,
ULI,22,25,10,,
ULI,22,38,10,,
ULI,22,41,10,,
ULI,22,14,10,,
ULI,22,39,10,,
ULI,22,29,10,,
ULI,22,25,10,,
ULI,22,20,10,,
ULI,22,45,10,,
ULI,22,34,10,,
ULI,22,17,10,,
ULI,22,57,10,,
ULI,22,34,10,,
ULI,22,58,10,,
ULI,22,58,10,,
ULI,22,38,10,,
ULI,22,57,10,,
ULI,22,14,20,,
ULI,22,38,10,,
ULI,22,51,10,,
ULI,22,57,10,,
ULI,22,54,500,,
ULI,22,14,10,,
ULI,22,48,10,,
ULI,22,52,10,,
ULI,22,38,10,,
ULI,22,42,10,,
ULI,22,42,10,,
ULI,22,40,50,,
ULI,22,44,50,,
ULI,22,10,10,,
ULI,22,38,10,,
ULI,22,34,10,,
ULI,22,44,10,,
ULI,22,46,110,,
ULI,22,21,10,,
ULI,22,21,10,,
ULI,22,58,50,,
ULI,22,58,10,,
ULI,22,39,20,,
ULI,22,39,10,,
ULI,22,43,20,,
ULI,22,11,10,,
ULI,22,50,10,,
ULI,22,16,10,,
ULI,22,48,10,,
ULI,22,50,50,,
ULI,22,54,245,,
ULI,22,41,10,,
ULI,22,43,20,,
ULI,22,16,10,,
ULI,22,43,10,,
ULI,22,26,10,,
ULI,22,25,120,,
JBLB,56,37,20,,
SJCL,50,34,20,,
AKJCL,56,56,500,,
SANIMA,45,34,50,,
NLIC,6,16,50,,
SJCL,50,38,20,,
SICL,28,32,100,,
SICL,28,32,50,,
SICL,42,32,10,,
SPDL,3,25,50,,
SPDL,3,49,50,,
SPDL,3,19,100,,
NRN,29,37,50,,
NRN,29,16,10,,
KBL,21,51,500,,
RMDC,35,34,350,,
SLI,57,38,100,,
SLI,57,58,10,,
SLI,57,22,10,,
SLI,57,36,100,,
SLI,57,40,10,,
SLI,57,22,20,,
SLI,57,55,10,,
SLI,57,52,10,,
SLI,57,17,10,,
SLI,57,21,10,,
SLI,57,17,10,,
SLI,57,38,50,,
SLI,57,52,10,,
SLI,57,58,40,,
NTC,59,28,230,,
MDB,45,17,500,,
SINDU,44,21,50,,
SINDU,11,21,50,,
SJCL,50,18,200,,
SJCL,50,36,10,,
SJCL,50,14,70,,
SJCL,50,34,10,,
SJCL,50,41,150,,
SJCL,50,49,223,,
SJCL,50,3,30,,
SJCL,50,58,50,,
SJCL,50,48,100,,
SJCL,50,7,40,,
SJCL,50,38,22,,
SJCL,50,33,100,,
SJCL,50,57,40,,
MBJC,59,46,10,,
NHDL,17,28,500,,
SLICL,48,4,25,,
RSDC,58,48,50,,
SIFC,57,4,50,,
MERO,34,42,100,,
PRVU,1,11,20,,
PRVU,48,11,15,,
BOKL,45,40,30,,
GMFIL,45,6,100,,
MHNL,51,14,200,,
STC,55,32,2,,
HDL,56,29,100,,
HDL,35,29,83,,
LBBL,14,17,50,,
LBBL,14,50,500,,
LBBL,14,57,125,,
LBBL,14,21,108,,
ACLBSL,52,19,65,,
ACLBSL,17,19,35,,
NABIL,33,44,100,,
SLI,16,28,10,,
CCBL,35,57,30,,
API,21,5,30,,
LEC,26,5,40,,
JBLB,56,17,10,,
JBLB,56,1,10,,
PICL,34,14,104,,
KSBBL,14,54,50,,
AHPC,46,58,40,,
FOWAD,58,44,200,,
UPCL,58,57,50,,
NUBL,58,57,40,,
DHPL,26,1,171,,
MFIL,37,34,50,,
MFIL,37,32,50,,
SWBBL,49,53,125,,
SWBBL,57,53,100,,
SWBBL,25,53,275,,
API,21,59,50,,
ADBL,49,57,50,,
SGI,7,45,10,,
UPCL,13,57,150,,
EIC,37,42,200,,
EIC,46,42,100,,
EIC,48,42,100,,
EIC,32,42,100,,
EIC,58,42,10,,
UMRH,56,26,30,,
KRBL,25,57,90,,
KRBL,25,29,10,,
SIFC,42,4,55,,
PIC,6,57,61,,
PIC,49,57,10,,
PIC,49,57,79,,
NABIL,33,57,50,,
NABIL,48,45,10,,
ADBL,34,57,60,,
KBL,55,38,31,,
PMHPL,14,14,210,,
PMHPL,14,4,100,,
PMHPL,14,11,690,,
SADBL,58,39,19,,
LBBL,16,53,50,,
LBBL,58,53,50,,
NIFRA,16,34,245,,
SADBL,49,54,166,,
NLICL,53,41,82,,
NLICL,34,41,418,,
HIDCL,58,35,300,,
HIDCL,45,35,100,,
HIDCL,58,35,50,,
HIDCL,58,35,103,,
NLG,21,11,55,,
GUFL,52,38,10,,
UPCL,40,57,200,,
SLI,16,1,10,,
MLBL,38,26,50,,
GUFL,58,38,30,,
CBL,58,59,12,,
NTC,33,28,10,,
JBLB,22,35,10,,
SANIMA,35,22,45,,
PCBL,49,41,12,,
NIFRA,43,34,55,,
NICA,26,40,100,,
NICA,26,44,76,,
GMFIL,42,6,399,,
NBL,49,50,50,,
ULI,59,25,380,,
ULI,59,16,10,,
AHPC,46,54,90,,
AHPC,39,54,100,,
NIFRA,43,54,40,,
AHPC,39,54,10,,
GHL,46,37,100,,
GHL,46,1,20,,
GHL,46,48,500,,
GHL,46,20,20,,
GHL,46,17,50,,
SAHAS,49,57,10,,
SHINE,56,44,50,,
NIFRA,43,50,235,,
NIFRA,43,16,200,,
NIFRA,43,11,50,,
NIFRA,43,6,100,,
NIFRA,43,3,200,,
NIFRA,43,17,20,,
NICL,38,55,123,,
CGH,48,38,10,,
GUFL,38,38,20,,
SPDL,57,55,100,,
NABIL,55,45,35,,
JBLB,26,45,10,,
NLIC,6,6,1,,
AHPC,32,50,10,,
NABIL,33,46,147,,
NABIL,33,57,30,,
CIT,10,16,36,,
NLIC,59,57,10,,
NIFRA,39,48,40,,
NIFRA,35,48,200,,
NIFRA,16,48,490,,
NIFRA,7,48,300,,
NIFRA,41,48,100,,
NIFRA,43,48,870,,
BPCL,38,48,16,,
NLICL,34,39,82,,
BPCL,45,48,30,,
NLICL,38,39,200,,
NIFRA,42,17,20,,
GHL,42,17,20,,
ADBL,51,57,35,,
ADBL,51,45,10,,
RMF1,22,45,100,,
SAHAS,58,28,10,,
SAHAS,58,58,10,,
SAHAS,58,58,10,,
SAHAS,58,58,10,,
SAHAS,58,32,10,,
SAHAS,58,22,10,,
SAHAS,58,57,10,,
SAHAS,58,19,10,,
SAHAS,58,5,415,,
BFC,58,42,280,,
BFC,58,38,20,,
MNBBL,26,52,140,,
GHL,6,17,100,,
RMDC,35,34,88,,
RMDC,35,14,50,,
RMDC,35,44,60,,
GHL,35,17,40,,
RMDC,35,26,152,,
UNHPL,17,59,109,,
UNHPL,17,49,300,,
UNHPL,17,45,91,,
MEGA,38,49,150,,
ALICL,34,28,71,,
ALICL,54,28,20,,
OHL,42,56,55,,
JFL,38,6,200,,
MDB,56,38,500,,
PFL,45,14,20,,
CBBL,52,22,20,,
JBLB,50,58,10,,
ALBSL,57,6,12,,
SPDL,57,57,80,,
KPCL,44,25,25,,
KPCL,44,32,975,,
MEGA,38,35,100,,
MEGA,38,42,350,,
MEGA,38,11,200,,
MEGA,38,49,1400,,
MBJC,59,21,10,,
NIL,21,6,40,,
MEGA,38,41,500,,
PFL,48,14,180,,
MEGA,38,34,911,,
SDLBSL,58,17,290,,
SDLBSL,58,50,100,,
SDLBSL,58,17,300,,
SDLBSL,58,14,10,,
JOSHI,58,57,30,,
SDLBSL,58,17,300,,
NHPC,18,42,171,,
NHPC,18,58,30,,
NHPC,18,13,400,,
NHPC,18,45,1000,,
NHPC,18,57,300,,
NHPC,18,34,25,,
NHPC,18,45,74,,
API,21,53,84,,
SAHAS,58,25,10,,
PRVU,22,33,175,,
PRVU,22,34,500,,
PRVU,22,47,50,,
GHL,48,17,290,,
SBL,19,35,300,,
SBL,19,45,200,,
SBL,19,55,769,,
SBL,32,55,300,,
HDHPC,5,32,50,,
SMATA,10,45,10,,
SMATA,10,17,10,,
CIT,57,16,30,,
NLIC,59,48,10,,
NLIC,59,32,30,,
MNBBL,6,3,100,,
KBL,55,45,18,,
BPCL,58,26,15,,
DHPL,16,1,17,,
KBL,35,45,482,,
DDBL,36,34,29,,
ULI,59,46,10,,
MFIL,1,21,10,,
SAHAS,29,5,50,,
KKHC,57,42,26,,
SAHAS,58,32,10,,
SAHAS,42,32,20,,
NIFRA,43,38,30,,
NIFRA,21,38,20,,
MBJC,59,45,10,,
EIC,58,32,390,,
HDHPC,8,42,10,,
HDHPC,8,33,490,,
SIFC,13,35,50,,
LBBL,54,21,87,,
LBBL,54,47,300,,
KPCL,51,25,100,,
RLFL,17,55,20,,
RLFL,17,13,10,,
AHPC,39,38,100,,
AHPC,39,56,50,,
AHPC,39,47,100,,
AHPC,39,52,40,,
NIFRA,47,7,50,,
PICL,34,59,204,,
PICL,34,49,32,,
SPDL,57,42,100,,
RLI,35,51,10,,
RLI,35,59,50,,
RLI,35,34,123,,
RLI,35,49,1000,,
RLI,35,57,200,,
RLI,35,34,10,,
RLI,35,57,10,,
RLI,35,20,800,,
RLI,35,50,1010,,
RLI,35,41,10,,
RLI,35,44,210,,
RLI,35,49,20,,
RLI,35,42,40,,
RLI,35,1,220,,
RLI,35,32,10,,
RLI,35,34,10,,
RLI,35,49,30,,
RLI,35,47,10,,
RLI,35,34,100,,
RLI,35,41,10,,
RLI,35,49,10,,
RLI,35,28,155,,
UPCL,26,57,500,,
SLI,16,38,60,,
SLI,16,34,30,,
SLI,16,59,10,,
SLI,16,33,10,,
SLI,16,34,10,,
SLI,16,59,10,,
SLI,16,53,10,,
SLI,16,44,10,,
SLI,16,58,50,,
SLI,16,58,10,,
SLI,16,50,10,,
SLI,16,55,10,,
SLI,16,45,10,,
SLI,16,49,10,,
SLI,16,47,30,,
JBLB,56,35,10,,
PFL,14,4,100,,
PMHPL,41,11,610,,
PMHPL,41,34,50,,
PMHPL,41,52,100,,
PMHPL,41,57,10,,
PMHPL,41,43,20,,
PMHPL,41,59,10,,
PMHPL,41,8,160,,
PMHPL,41,21,40,,
RHPL,44,57,70,,
HGI,42,39,27,,
HGI,42,53,23,,
GHL,48,10,210,,
NMB,36,1,100,,
SPC,34,28,420,,
SPC,52,28,500,,
GLICL,53,45,32,,
GLICL,53,58,18,,
CBL,58,17,20,,
AIL,16,33,10,,
AIL,45,33,70,,
KRBL,51,44,182,,
KRBL,26,44,18,,
SADBL,49,44,200,,
EDBL,42,59,75,,
EDBL,42,51,25,,
AHPC,32,52,10,,
NUBL,58,57,61,,
NUBL,58,8,10,,
NUBL,58,48,70,,
NUBL,58,56,50,,
NUBL,58,29,10,,
NUBL,58,13,45,,
NUBL,58,14,18,,
NUBL,58,19,36,,
GMFIL,26,6,100,,
AKPL,48,56,100,,
RHPL,44,6,50,,
API,35,33,1000,,
MEGA,21,7,977,,
MEGA,42,7,613,,
GHL,22,10,290,,
GBIME,42,36,391,,
PLI,59,59,100,,
MLBL,38,50,249,,
BOKL,17,32,500,,
UPCL,51,45,50,,
NLIC,48,32,20,,
NLIC,48,48,50,,
HDL,35,50,10,,
HDL,35,48,10,,
HDL,35,1,20,,
HDL,35,29,13,,
HDL,35,55,20,,
ULI,59,25,250,,
HDL,35,22,40,,
ULI,59,46,350,,
HDL,35,39,17,,
SANIMA,52,22,119,,
MHNL,4,45,50,,
MHNL,4,34,20,,
NIFRA,42,46,50,,
JFL,38,5,100,,
SAHAS,42,38,10,,
KPCL,51,3,50,,
MBJC,59,48,10,,
SHL,41,48,108,,
PFL,11,14,350,,
PFL,11,26,100,,
PFL,11,32,50,,
SLI,36,46,10,,
SFMF,38,53,1800,,
SFMF,38,53,200,,
NYADI,41,1,10,,
DDBL,49,34,10,,
CBBL,6,56,15,,
ICFC,25,4,20,,
ICFC,25,45,130,,
RMDC,48,34,820,,
RMDC,32,34,50,,
RMDC,28,34,200,,
RMDC,26,34,180,,
SPC,34,41,10,,
SHINE,34,54,500,,
SLBSL,38,38,50,,
SLBSL,38,37,10,,
JFL,14,5,200,,
AKJCL,49,56,10,,
RSDC,40,34,35,,
AHPC,48,48,50,,
EIC,47,32,100,,
MNBBL,32,52,100,,
SBL,26,55,30,,
MBJC,59,17,10,,
NMBMF,34,13,200,,
NICL,34,55,75,,
NICL,34,51,15,,
ALICL,34,26,29,,
NICL,34,11,10,,
UMHL,50,5,582,,
UMHL,51,5,86,,
SLI,10,47,50,,
CIT,10,16,34,,
GLH,58,7,93,,
GLH,58,49,10,,
GLH,58,42,10,,
GLH,58,58,10,,
GLH,58,58,10,,
GLH,58,59,10,,
GLH,58,16,40,,
MBJC,59,32,10,,
FOWAD,58,55,10,,
HIDCL,58,7,10,,
GBIME,28,36,1000,,
KSBBL,4,54,30,,
JBBL,38,57,262,,
SPDL,33,35,265,,
SPDL,33,52,20,,
SPDL,33,35,300,,
SPDL,33,4,25,,
SPDL,33,14,390,,
MBJC,59,38,10,,
NRIC,40,6,20,,
CBBL,56,56,48,,
JBBL,45,48,450,,
JBBL,45,57,50,,
ADBL,39,45,30,,
SLI,16,47,200,,
SPDL,28,14,110,,
SPDL,28,32,290,,
NABIL,32,46,53,,
GUFL,53,50,347,,
GUFL,53,50,1153,,
SICL,28,34,50,,
PIC,6,38,79,,
NICLBSL,22,57,24,,
NBF3,11,42,100,,
RADHI,14,51,100,,
ADBL,11,45,54,,
ADBL,59,45,86,,
AIL,45,45,30,,
ADBL,29,45,110,,
SANIMA,52,45,236,,
AIL,21,45,100,,
NABIL,32,16,47,,
NABIL,49,16,50,,
NABIL,16,16,170,,
NABIL,38,16,133,,
GFCL,48,52,35,,
DDBL,32,34,100,,
KKHC,17,42,574,,
KKHC,17,58,10,,
KKHC,17,54,250,,
KKHC,17,42,50,,
KKHC,17,49,16,,
KKHC,17,45,100,,
NIL,6,6,60,,
NIL,6,39,20,,
NIL,6,45,10,,
UPPER,39,6,50,,
UPCL,42,57,100,,
UIC,19,42,10,,
HIDCL,58,28,887,,
SLI,36,4,40,,
ULI,41,8,10,,
SHIVM,20,32,442,,
SHIVM,20,38,190,,
SHIVM,20,26,200,,
SHIVM,20,58,15,,
HDHPC,36,33,100,,
SHIVM,20,57,100,,
NFS,46,4,545,,
SHIVM,20,17,1000,,
NFS,46,21,230,,
SHIVM,20,38,310,,
SHIVM,20,36,493,,
SHIVM,20,38,1000,,
SHIVM,20,52,165,,
SHIVM,20,16,100,,
SHIVM,20,13,130,,
SHIVM,20,1,100,,
SHIVM,20,52,200,,
SHIVM,20,3,50,,
SHIVM,20,5,505,,
PCBL,49,45,18,,
PCBL,49,50,10,,
SADBL,49,16,2000,,
SADBL,49,51,425,,
GHL,41,17,240,,
GHL,48,17,260,,
STC,43,57,10,,
ULI,57,25,200,,
HGI,29,53,940,,
HGI,29,41,60,,
SHPC,26,32,100,,
PFL,14,21,100,,
KRBL,26,19,635,,
SAHAS,45,5,470,,
SAHAS,45,44,10,,
SAHAS,45,6,10,,
DHPL,45,50,30,,
SAHAS,45,34,10,,
DHPL,45,49,70,,
GHL,48,58,240,,
MDBPO,8,17,45130,,
GIC,41,17,80,,
GIC,41,34,210,,
GIC,41,39,100,,
GIC,41,58,10,,
GIC,41,39,100,,
FMDBL,28,28,100,,
GIC,41,8,10,,
GIC,41,21,30,,
GIC,41,43,200,,
GIC,41,45,10,,
GIC,41,39,20,,
GIC,41,57,10,,
NABBC,42,41,23,,
EBL,42,33,15,,
MDB,43,38,100,,
MDB,38,38,400,,
BARUN,58,36,608,,
BARUN,58,49,11,,
BARUN,58,56,40,,
BARUN,58,32,50,,
BARUN,58,40,100,,
BARUN,58,57,20,,
BARUN,58,58,25,,
BARUN,58,57,50,,
BARUN,58,47,50,,
BARUN,58,36,1000,,
BARUN,58,47,500,,
BARUN,58,33,900,,
BARUN,58,48,300,,
CBL,45,43,177,,
SHINE,45,54,400,,
BARUN,58,57,50,,
BARUN,58,26,156,,
BARUN,58,45,40,,
BARUN,58,32,100,,
UPPER,37,3,90,,
UPPER,37,17,10,,
NABBC,58,41,50,,
NABBC,39,41,27,,
MERO,44,51,50,,
HDL,19,39,58,,
JBLB,56,8,10,,
JBLB,56,35,95,,
JBLB,56,21,111,,
JBLB,56,58,50,,
JBLB,56,4,10,,
JBLB,56,14,10,,
JBLB,56,1,200,,
PROFL,56,29,20,,
JBLB,45,34,10,,
SLI,55,47,220,,
SLI,55,40,100,,
SLI,55,25,20,,
SLI,55,51,10,,
ICFC,34,49,100,,
SLI,55,53,10,,
ICFC,49,49,50,,
SLI,55,17,10,,
ICFC,28,49,45,,
SLI,55,43,10,,
SLI,55,25,10,,
API,57,33,20,,
NICLBSL,22,25,10,,
CFCL,21,4,100,,
SADBL,49,1,50,,
